epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1867.97,0.93884,0.71553,1.14508,0.93,0.89774,0.94465,0.64123,1.20927,0.74157,1.49906,0.000726312,0.000726312,0.000726312
59,1900.73,0.91536,0.72017,1.12272,0.96267,0.89595,0.95533,0.64386,1.16304,0.7273,1.42877,0.000709809,0.000709809,0.000709809
60,1933.59,0.94814,0.71961,1.14994,0.93925,0.89608,0.94191,0.62522,1.17595,0.75237,1.47051,0.000693305,0.000693305,0.000693305
61,1964.21,0.93679,0.71356,1.13518,0.93873,0.89524,0.94211,0.62269,1.18146,0.75198,1.46583,0.000676802,0.000676802,0.000676802
62,1995.25,0.93304,0.7044,1.1257,0.95103,0.89277,0.95437,0.62748,1.24643,0.72263,1.54359,0.000660299,0.000660299,0.000660299
63,2027.2,0.93135,0.70598,1.14392,0.96903,0.88359,0.94995,0.66187,1.16097,0.68897,1.4674,0.000643795,0.000643795,0.000643795
64,2059.6,0.88968,0.65621,1.11242,0.95747,0.89462,0.94289,0.64142,1.15639,0.70921,1.44999,0.000627292,0.000627292,0.000627292
65,2090.63,0.87676,0.63686,1.1075,0.93247,0.89673,0.94893,0.6408,1.13142,0.72732,1.4384,0.000610789,0.000610789,0.000610789
66,2122.47,0.88548,0.65286,1.11328,0.94912,0.90105,0.95033,0.63819,1.20415,0.73236,1.47477,0.000594286,0.000594286,0.000594286
67,2154.53,0.87344,0.63692,1.10924,0.94222,0.89692,0.9424,0.66011,1.14826,0.71297,1.46871,0.000577782,0.000577782,0.000577782
68,2186.23,0.86278,0.61387,1.09787,0.93495,0.89788,0.94639,0.65189,1.17265,0.73379,1.48264,0.000561279,0.000561279,0.000561279
69,2217.97,0.84893,0.62735,1.09916,0.93854,0.89657,0.95178,0.64161,1.17476,0.75212,1.46703,0.000544776,0.000544776,0.000544776
70,2249.64,0.84079,0.61768,1.08542,0.9603,0.89608,0.95398,0.66077,1.09884,0.70935,1.40943,0.000528272,0.000528272,0.000528272
71,2280.56,0.83981,0.60614,1.07665,0.96196,0.8838,0.94698,0.64799,1.12215,0.75097,1.40846,0.000511769,0.000511769,0.000511769
72,2312.75,0.84126,0.61887,1.09736,0.96888,0.86482,0.94449,0.66102,1.11586,0.69261,1.45639,0.000495266,0.000495266,0.000495266
73,2344.13,0.82025,0.59899,1.07522,0.96325,0.90602,0.95066,0.66474,1.11156,0.67928,1.42644,0.000478762,0.000478762,0.000478762
74,2376.58,0.81624,0.60393,1.06934,0.95376,0.89437,0.95304,0.65553,1.1069,0.73374,1.40565,0.000462259,0.000462259,0.000462259
75,2407.33,0.79781,0.58706,1.06113,0.93665,0.90271,0.9544,0.6633,1.09194,0.70369,1.41277,0.000445756,0.000445756,0.000445756
76,2438.22,0.81282,0.59562,1.06541,0.92216,0.89774,0.94251,0.65153,1.09601,0.7024,1.40225,0.000429253,0.000429253,0.000429253
77,2469.41,0.81227,0.60226,1.07447,0.9542,0.92719,0.95427,0.6692,1.08641,0.64805,1.40837,0.000412749,0.000412749,0.000412749
78,2501.82,0.76856,0.57991,1.05492,0.93555,0.90633,0.94875,0.67476,1.06339,0.70441,1.38246,0.000396246,0.000396246,0.000396246
79,2534.53,0.7683,0.56179,1.04696,0.9806,0.86814,0.94952,0.67854,1.07441,0.65544,1.44293,0.000379743,0.000379743,0.000379743
80,2567.13,0.74795,0.56293,1.04218,0.93269,0.91832,0.95109,0.68515,1.10384,0.6544,1.40068,0.000363239,0.000363239,0.000363239
81,2600.84,0.75878,0.556,1.03241,0.94678,0.92022,0.95037,0.68106,1.02898,0.66419,1.35471,0.000346736,0.000346736,0.000346736
